Satellite1,Satellite2,Distance,Orbit
184,185,1969.921980095358,8
185,184,1969.921980095358,8
185,186,1969.9219869609017,8
186,185,1969.9219869609017,8
186,187,1969.9219761931072,8
187,186,1969.9219761931072,8
187,188,1969.9220310030055,8
188,187,1969.9220310030055,8
188,189,1969.9220201061783,8
189,188,1969.9220201061783,8
189,190,1969.9219899515524,8
190,189,1969.9219899515524,8
190,191,1969.9219759510584,8
191,190,1969.9219759510584,8
191,192,1969.9220036189586,8
192,191,1969.9220036189586,8
192,193,1969.9219009802623,8
193,192,1969.9219009802623,8
193,194,1969.9221079250992,8
194,193,1969.9221079250992,8
194,195,1969.9219323814657,8
195,194,1969.9219323814657,8
195,196,1969.9219800953565,8
196,195,1969.9219800953565,8
196,197,1969.9219869609028,8
197,196,1969.9219869609028,8
197,198,1969.9219761931067,8
198,197,1969.9219761931067,8
198,177,1969.9220310030057,8
199,220,1969.9219872076937,9
199,200,1969.9219589535903,9
200,199,1969.9219589535903,9
200,201,1969.9220019417915,9
201,200,1969.9220019417915,9
201,202,1969.9219836925406,9
202,201,1969.9219836925406,9
202,203,1969.9219400134389,9
203,202,1969.9219400134389,9
203,204,1969.9220848482237,9
204,203,1969.9220848482237,9
204,205,1969.9219333653778,9
205,204,1969.9219333653778,9
205,206,1969.9219766754704,9
206,205,1969.9219766754704,9
206,207,1969.9220386880663,9
207,206,1969.9220386880663,9
207,208,1969.921939222961,9
208,207,1969.921939222961,9
208,209,1969.9220605577914,9
209,208,1969.9220605577914,9
209,210,1969.9219872076937,9
210,209,1969.9219872076937,9
210,211,1969.9219589535903,9
211,210,1969.9219589535903,9
211,212,1969.9220019417917,9
212,211,1969.9220019417917,9
212,213,1969.92198369254,9
213,212,1969.92198369254,9
213,214,1969.9219400134386,9
214,213,1969.9219400134386,9
214,215,1969.9220848482253,9
215,214,1969.9220848482253,9
215,216,1969.921933365376,9
216,215,1969.921933365376,9
216,217,1969.921976675473,9
217,216,1969.921976675473,9
217,218,1969.922038688064,9
218,217,1969.922038688064,9
218,219,1969.9219392229616,9
219,218,1969.9219392229616,9
219,220,1969.9220605577923,9
220,219,1969.9220605577923,9
220,199,1969.9219872076937,9
221,242,1969.9219903668354,10
221,222,1969.9219832238646,10
222,221,1969.9219832238646,10
222,223,1969.9219929597432,10
223,222,1969.9219929597432,10
223,224,1969.9220345919566,10
224,223,1969.9220345919566,10
224,225,1969.9219456941744,10
225,224,1969.9219456941744,10
225,226,1969.9219410700546,10
226,225,1969.9219410700546,10
226,227,1969.922064215096,10
227,226,1969.922064215096,10
227,228,1969.9220659405323,10
228,227,1969.9220659405323,10
